因子,IC均值,P值,ICIR,样本数,5%显著,1%显著,来源
A01,0.051476883593418565,0.010244689237228868,0.16008984870964985,261,True,False,原有效因子
A02,0.052582538228611135,0.009111749076743714,0.1626401464388444,261,True,True,原有效因子
A05,0.046996652174291616,0.020223203508729682,0.14008314148504183,278,True,False,原有效因子
A06,0.0703995700887944,0.0003425740785636938,0.2162769093717907,281,True,True,原有效因子
B01,-0.0432468766855651,0.002680452662620609,-0.1946018271366726,243,True,True,原有效因子
B03,0.061397636334229275,0.00470971596040013,0.1761212718297417,262,True,True,原有效因子
B05,0.05693289102635994,0.0060837799145986955,0.16891716374381938,268,True,True,原有效因子
B06,-0.03909474417885399,0.0006527108880390063,-0.2056611995004728,281,True,True,原有效因子
C03,-0.05850229972587993,3.1509949713694585e-11,-0.4285633024553595,262,True,True,原有效因子
D01,0.03372897104493648,0.017454277629583785,0.14421302797425578,275,True,False,原有效因子
D02,0.04393803621850376,0.010770151896318973,0.15314992448180206,281,True,False,原有效因子
D04,-0.04066520876579245,0.006049160102256112,-0.16531510495467833,280,True,True,原有效因子
K02,-0.04089360860545454,0.017129220231398314,-0.14822778507579282,262,True,False,新增因子
M03,0.039262908605718766,0.013532982512165614,0.15360564791207446,262,True,False,新增因子
N01,0.05241512882398312,0.012255135937929429,0.15612925531774366,261,True,False,新增因子
T01,-0.053478322378862256,3.7348327028314695e-05,-0.24998579040649727,281,True,True,原有效因子
